Behavior,Neuron_11,Neuron_5,Neuron_25,Neuron_1,Neuron_21,Neuron_6,Neuron_16,Neuron_3,Neuron_51,Neuron_47,Neuron_2,Neuron_29,Neuron_43,Neuron_22,Neuron_15,Neuron_33,Neuron_18,Neuron_32,Neuron_44,Neuron_28,Neuron_49,Neuron_7,Neuron_52,Neuron_39,Neuron_50,Neuron_37,Neuron_12,Neuron_40,Neuron_31,Neuron_10,Neuron_38,Neuron_46,Neuron_9,Neuron_42,Neuron_34,Neuron_19,Neuron_36,Neuron_35,Neuron_17,Neuron_13,Neuron_30,Neuron_26,Neuron_4,Neuron_8,Neuron_23,Neuron_20,Neuron_45,Neuron_48,Neuron_14,Neuron_41,Neuron_27,Neuron_24
Clim,2.0359131130070525,1.870339817877509,1.5987532874965065,1.471077089212466,1.359742692926509,1.3026563955202444,1.2502331372877797,1.2179042632278565,1.2014017655023785,1.1546436742992885,1.106804349914493,0.9303262558605134,0.9193067272809564,0.9087785761325199,0.9075251618839271,0.8743021421430713,0.8459142691016558,0.844735353102042,0.7964198119942026,0.7820095793412973,0.7657347895373056,0.7007479164276817,0.6983152950794647,0.6617206733716018,0.6574787629671397,0.6174189359685701,0.5895669897366631,0.5669096898233122,0.5106078577093243,0.49753079115380333,0.4821613806626105,0.45237045262969594,0.42955020682665357,0.4262687694474809,0.37580653383010487,0.3532850062818771,0.32786353178430716,0.27380326238410857,0.2722251065586509,0.2555383130051998,0.23981340981326557,0.22730977143978956,0.1942497594301896,0.13410805804702702,0.11335304146709696,0.11092869096076606,0.11049088097593802,0.09499458208236597,0.07538993311358222,0.06912337941864252,0.04995662533494699,0.03843368057407097
Clim-CD1,0.20476671721720122,0.044627411236738815,0.6280724837582965,0.5853422222499336,0.8774360976239992,0.9015146454311272,0.49455339873774784,0.45735230314255987,1.2433227240643427,0.05229466631969607,0.5720916852311279,0.32183990538322566,0.48964246542193834,0.572263532467051,0.9410045214693304,0.2974994714735388,0.04109495822552813,0.3986391783914454,0.21582238171499407,0.44701178360981625,0.8849550925479501,0.4454914415040865,0.3417056571661288,0.05361441652580269,0.11935499009736561,0.4449639833762863,0.9525982866599073,0.2526259376354153,0.07715947446435235,0.49541468609261996,0.35524846139156413,0.1879166129968646,0.6922818948583719,0.18931114960359885,1.0949313017027975,1.0737449353429684,0.022120670882028248,0.14529817933204373,0.05925503081537917,0.4320108089286191,0.03216985029365587,0.19476516896871515,0.20425634382859217,0.24319408406626294,0.24681604596111506,0.48303822643664324,0.1657446995853683,0.08313182879491005,0.9267128625690305,0.49751330790902054,0.2570912163084518,0.29630461575912614
Exp,1.3309470420250586,0.014393174505305473,0.6910705681669763,0.5880072335086587,0.09608605732034142,0.274227201420892,1.030042589589755,0.17117971292321102,1.3587219667160795,0.6543356978337384,0.6114731715046983,1.1672940876642797,1.2731053948827116,0.29606381294412665,0.1511125084708726,0.3088317417624952,1.4044942864470609,0.4301152181375174,1.401350645277201,0.8755560937415732,0.741577820516316,0.6017840511471766,0.6230372077421199,0.1929352632831789,1.0374036627867569,1.5448366719472686,0.44067963829667234,0.6499699489780091,0.2763778422686097,0.4908823275599991,1.27349862479827,0.11997915404221188,0.4525729445697813,0.6514214103968735,1.371627609619208,0.2245721961289483,0.7544586809362962,0.6841863950272866,0.5937930923398785,0.6183068342872534,0.42426869601667666,0.38142187795858484,0.921455828005801,1.4151829057366356,0.13763207718711032,1.06471810706062,0.40984246353540404,0.6840803724764807,0.9490297515780631,1.1721077444716401,0.3011012304291123,0.2808749601831687
Exp-CD1,1.1728513680218309,0.10793086857719958,0.22077471448194996,0.16545877234872772,0.3216270485822922,0.019480355702007467,0.3906583584614796,0.14461507946296556,0.3645406707811355,0.6276499973353465,0.4381664870051006,0.9012979628282909,0.8690880450690095,0.16716326687314068,0.3377631146103702,0.06595539269183953,0.8630121430143,0.0935375756118145,0.929885337001064,0.45481113199997636,0.2410771114296417,0.22125181153078596,0.30231161257074834,0.23489858162013472,0.7383062300441348,0.7189028801714126,0.02242580725349425,0.5598616563624036,0.4331897448611366,0.061702676596298404,0.924856197537337,0.38478215904420005,0.03904138513783105,0.2525061666887669,0.6597531002180294,0.4831383690840589,0.5557576109147258,0.6274955608706865,0.3231476140695231,0.7029551247092329,0.38149818262929686,0.2914650625526132,0.7715463360777498,0.7416803674792538,0.14524729192561125,0.5995547811024629,0.16858729850142706,0.6651824206846968,0.5769658080191138,0.7148801701786881,0.25888235675363797,0.07776572998784419
Gro,2.284109991102755,2.4203663037320484,2.228417825918194,0.3146843986534066,0.5453589067154522,1.1209229913135623,1.3752264840205382,0.8904585525227449,1.1549092676460955,0.9135368590125884,1.3996978026887181,0.690096256398758,1.806665630830893,0.09067265339019015,0.655441934163988,1.0428333512822112,1.009190042099529,0.14713001800158765,0.7463242118012543,0.5573847975628133,1.0947496508161194,1.6409567712248516,0.4731629011552374,0.791855927029782,1.3653695168397308,0.8130890843183991,0.7786821063671231,0.27155042949746744,1.0907022126237835,0.25821982157326606,0.7385226840761293,0.009175382020041024,1.3475706988408092,0.2496034964366985,1.4516980101483943,0.5872363711537516,0.13687462294442837,0.1804365932407388,0.4335245630126252,0.3650793508550392,0.43163032133170237,0.559985355840928,0.3231541721267408,0.031144575649912992,0.045976917225323724,0.004611586533590996,0.35140241247926135,0.10680470591568247,1.2127584051873515,0.6823446740411208,0.4510338084809405,0.034792946027892825
Gro-CD1,0.7415426655034699,0.32837625121528896,0.13130456549024122,1.0184228962426414,0.7772537766588616,1.0540326936659592,0.10460019863506119,0.7406610582666077,0.6431024771846646,0.5525359014083556,0.617616567413564,0.29813684600819557,1.059966181828064,0.21423561219002382,0.03006539176116017,0.373943645088692,0.47412511155090864,0.4006405141309042,0.7144087276415759,0.821202749831138,0.4241367348773012,0.0780329866435497,0.2197113428218131,0.5274668269066497,0.3621962745676271,0.8220789968159643,0.7969067697938804,0.10318866917821165,0.6113673970168813,0.9858936822437052,0.6740573919645917,1.3250095694636852,0.13574784495781517,0.5409693754611195,0.7517085329304538,0.38586486240097206,0.1024329757953373,0.8007973521876498,0.5003211162213351,1.0488274016003947,0.6901199023669312,0.027390238492306485,0.9487706498707865,0.05817116669124314,0.09474244275758265,0.6660088067301252,0.6052914553691412,0.9937891958853721,1.055409255111801,0.17938643261464837,0.45172658847707864,0.27724936148081
Scra-CD1,1.9943754582986088,2.0131919716442033,1.7907289503586503,1.291210227849719,0.7273030643376392,3.030659285135277,3.765324977911398,2.4113365311828243,1.389197119682672,2.4053397471862175,0.5846683391943578,2.804909120125296,1.9537634852843972,0.48307444213654255,1.6809550690170743,2.693049140620147,3.0286442989176523,0.1090506169697935,2.430362291726678,3.566300395287272,1.8038405920819203,2.530582644617913,0.5837010897330644,0.6418462350344776,3.4525202777532695,2.1322967852130734,2.8476941886697933,0.3318893223347799,1.815019548482826,0.5000304746197811,4.652097505257449,0.8669668607927028,2.742542909846088,0.3896814154009344,2.4055971964842433,1.6994757577176423,1.408978118595595,1.7679494170695669,5.264936348162871,0.4950892198117701,1.1093846067339046,0.6249600668869423,1.007437475824361,1.8992543157376105,0.3911165980018888,1.7107361109601777,0.925287856106714,2.003253174282889,2.249455452158866,1.3116198351880037,2.7110550075390973,1.1488193135876066
Sta,1.215094601935585,0.4687611120375188,0.5745504642042035,1.5609902191676102,0.7390465993315558,0.7796603090536026,0.9237042096917455,0.8380635605624988,0.9414778411612622,1.7566981068425689,0.6631520360806247,0.8935714518700694,0.48231198139033754,1.7760663179543246,1.4315093712189577,0.47420569382167377,1.0827722161009972,0.18080451943517234,0.6108148712414174,0.8634456059489203,1.0214569317145914,0.1469711590972217,1.8856385056562754,0.618725919962604,2.68788470092121,1.3202918421055776,0.5613639093370547,1.1190598122985247,0.016918939980136653,0.6346872651639176,0.8103277795939309,0.7142897419497759,0.46420261752338,0.17522959864915652,0.20515789483396646,0.3264219164189406,1.6522194417321419,1.0134709907143153,0.11476402179584257,0.7354621393779369,0.334929933162823,0.43837497316626495,0.49781042165232203,0.4046390976180626,0.05092356560103613,0.39709115742228995,0.06321997949689316,0.550836118863035,0.17959729995930834,1.2664763780526296,0.005105091399141994,0.45048892916589384
Sta-CD1,0.5741239860454324,0.5759878293746913,1.225785137624422,0.5040270396863451,0.07591918359697021,0.45993629971355243,0.6752396611150335,0.8335010089306001,0.16304205880809108,0.21492304218960273,0.7753446908987855,0.16142931803670596,0.3362761842140477,0.4793214605313623,0.0034641245030423633,0.11681378465795798,0.3755665828001289,0.11996781678130176,0.7725189427901583,0.023570066747205787,0.38023391575928533,0.7844237361839654,0.5612942844529871,0.07640730433112788,0.6569090662917842,1.4722566388067169,0.35376030329457325,0.7685584480394321,0.20686296893954492,0.2871143886839503,0.3767192778534608,1.0711061689677945,0.41217430250070136,1.034032329926101,0.18454785541674798,0.404627162649106,0.6696192541313244,0.8710796840203681,0.4657146566013852,0.11482550027328617,0.8293837045892792,0.34700665064670194,0.04685933634235525,1.0506326688184204,0.3690506916660717,0.8323177087654579,0.595776882415525,0.10674951234921469,0.21793089692686637,0.06843341415437955,0.3355327368392613,0.4771710068682086
Stiff,1.8224621132072731,0.9236560440418777,1.5426166972869186,1.391679814356329,1.2150581490205574,0.9697998832788258,0.2322235812228522,0.5322599861401967,1.6159428276169434,1.5121194956588067,2.020103366527738,0.2614775202879032,0.7824103014280476,0.6412953919115381,0.29657678964222106,0.10300425483590495,0.6869683884954253,0.9072825872217704,1.13764464673033,1.2483437535353417,1.6387924035822181,1.3961188068142212,0.7138101085132363,3.0819195671066204,0.4500622823644272,0.1101946838709036,1.4167060278440209,0.9920723893851946,1.4299394124670117,1.3687211925489098,0.6622344187489994,0.20424973192331075,2.1963118029033057,0.9211657001032599,1.808601116388968,0.42493190103104767,0.7395463900462088,1.441120377779649,0.6151915795763913,0.14236100094898813,1.396030545535155,1.1277884502295086,0.8536269487544678,0.9207080893242577,0.7561113499471502,1.8424347199827888,0.8628736210190789,2.141427126117558,1.2853564824488166,1.54937887349386,0.16984471705662021,0.8097885182272224
